"name"
"30 Minutes Or Less"
"Captain America: The First Avenger"
"Conan The Barbarian"
"Cowboys & Aliens"
"Final Destination 5 3D"
"Fright Night"
"Fright Night 3D"
"Glee The 3D Concert Movie"
"Harry Potter7B"
"Horrible Bosses"
"One Day"
"Rise of the Planet of the Apes"
"Spy Kids: All The Time In The World"
"The Help"
"The Smurfs"
"Winnie The Pooh"
"Zookeeper"
"Bridesmaids"
"Conan The Barbarian 3D"
"Crazy, Stupid, Love"
"Final Destination 5"
"God Bless Ozzy"
"Spy Kids: All The Time In The World 3D"
"The Change-Up"
"The Smurfs 3D"
"Friends With Benefits"
"Cars 2"
"Final Destination 5: The IMAX 3D Experience"
"Sarah's Key"
"Atrocious"
"Transformers 3"
"Attack the Block"
"Captain America: The First Avenger 3D"
"Conan The Barbarian ETX 3D"
"Guard, The"
"The Devil's Double"
"Got The Facts On Milk"
"Aarakshan"
"The Smell Of Success"
"Zindagi Na Milegi D"
"Amigo"
"Midnight in Paris"
"Mr. Popper's Penguins"
"Super 8"
"Conan The Barbarian ETX D"
"Beats Rhymes & Life"
"Final Destination 5 (Spanish Subtitles)"
"Rise of the Planet of the Apes (Spanish Subtitiles)"
"The Smurfs (Spanish)"
"Senna"
"Another Earth"
"Quick"
"Sunny (CJE)"
"Tree Of Life, The"
"Buck"
"Better Life, A"
"Cornerstore"
"Bad Teacher"
"Larry Crowne"
"Empire of Silver"
"Beginners"
"The Whistleblower"
"Rise of the Planet of the Apes ETX"
